
Predmeti iz 1. semestra 

346, PRIMJENA RAÈUNALA         	 0.      2.  21.      2.      1.  14.  23.      2.  14.  
 25, TJELESNI ODGOJ            	 0.      9.  22.      4.      4.  14.  28.      8.  16.  
345, OSNOVE ELEKTROTEHNIKE I   	 0.      7.  15.      1.      7.  17.  29.      7.  16.  
344, MATEMATIÈKA ANALIZA I     	 0.      0.  15.      2.      1.  10.  24.     11.  21.  
343, LINEARNA ALGEBRA          	 0.      9.  17.      4.      3.  18.  30.      0.  21.  
266, FIZIKA I                  	 0.      8.  18.      0.      4.  14.  22.      4.  14.  

Predmeti iz 2. semestra 

347, MATEMATIÈKA ANALIZA II    	 0.      4.  22.      1.      1.  17.  28.      8.  22.  
348, OSNOVE ELEKTROTEHNIKE II  	 0.      1.  14.      4.     10.  17.  24.      4.  15.  
350, INŽENJERSKA GRAFIKA I DOK 	 0.      1.  17.      1.      2.  18.  30.      1.  21.  
267, FIZIKA II                 	 0.     11.  23.      3.      2.  11.  30.      8.  16.  
349, PROGRAMIRANJE             	 0.      8.  17.      3.      7.  15.  28.      4.  17.  

Predmeti iz 3. semestra 

353, ENERGETSKA ELEKTROTEHNIKA 	 0.      7.  15.      2.      3.  15.  25.      3.  16.  
355, ALGORITMI I STRUKTURE POD 	 0.     11.  23.      0.      2.  16.  29.     10.  23.  
438, ELEKTRONIKA I             	 0.      0.  15.      4.      2.  18.  29.      1.  17.  
306, TJELESNI ODGOJ            	 0.      3.  18.      3.      1.  16.  28.      9.  17.  
352, MJERENJA U ELEKTROTEHNICI 	 0.      2.  17.      4.      2.  10.  21.      8.  18.  
351, MATEMATIÈKA ANALIZA III   	 0.      0.  14.      1.      2.  17.  29.      2.  15.  

Predmeti iz 4. semestra 

360, DIGITALNA ELEKTRONIKA     	 0.      8.  22.      3.      8.  18.  30.      9.  18.  
293, TEORIJA MREŽA I LINIJA    	 0.      0.  18.      3.      1.  11.  28.      1.  17.  
358, MJERENJA U ELEKTROTEHNICI 	 0.      3.  15.      0.      2.  15.  28.      1.  22.  
361, OSNOVE DIGITALNIH RAÈUNAL 	 0.      3.  15.      1.     10.  18.  29.      2.  14.  
442, ELEKTRONIKA II            	 0.     11.  21.      1.      4.  18.  25.      8.  22.  

Predmeti iz 5. semestra 

